,"Gross national income per capita 2012, Atlas method and PPP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Purchasing,,,,,,,
,,,,Atlas,,,,,,power parity,,,,,,,
,,,,methodology,,,,,,(international,,,,,,,
,Ranking,,Economy,(US dollars),,,Ranking,,Economy,dollars),,,,,,,
,,,,,,,,,,,,,,,,,
SYR,150,,Syrian Arab Republic,"2,610",a,,166,,Lao PDR,"2,690",,,LAO,,,,
COG,151,,"Congo, Rep.","2,550",,,167,,Mauritania,"2,480",,,MRT,,,,
KIR,152,,Kiribati,"2,520",,,168,,Nigeria,"2,450",,,NGA,,,,
PHL,153,,Philippines,"2,500",,,169,,Cambodia,"2,330",,,KHM,,,,
BTN,155,,Bhutan,"2,420",,,170,,"Yemen, Rep.","2,310",,,YEM,,,,
BOL,156,,Bolivia,"2,220",,,171,,Cameroon,"2,270",,,CMR,,,,
HND,157,,Honduras,"2,120",,,172,,Kyrgyz Republic,"2,230",,,KGZ,,,,
MDA,158,,Moldova,"2,070",f,,173,,Tajikistan,"2,180",,,TJK,,,,
PNG,159,,Papua New Guinea,"1,790",,,174,,Lesotho,"2,170",,,LSO,,,,
UZB,160,,Uzbekistan,"1,720",,,175,,Solomon Islands,"2,130",b,,SLB,,,,
NIC,161,,Nicaragua,"1,650",,,176,,Sudan,"2,070",g,,SDN,,,,
IND,162,,India,"1,580",,,177,,Bangladesh,"2,030",,,BGD,,,,
GHA,163,,Ghana,"1,550",,,178,,Côte d'Ivoire,"1,920",,,CIV,,,,
VNM,163,,Vietnam,"1,550",,,179,,Ghana,"1,910",,,GHA,,,,
SDN,166,,Sudan,"1,500",g,,180,,Senegal,"1,880",,,SEN,,,,
NGA,167,,Nigeria,"1,440",,,181,,"Gambia, The","1,830",,,GMB,,,,
LSO,168,,Lesotho,"1,380",,,182,,São Tomé and Principe,"1,810",,,STP,,,,
ZMB,169,,Zambia,"1,350",,,184,,Kenya,"1,730",,,KEN,,,,
STP,170,,São Tomé and Principe,"1,310",,,185,,Chad,"1,620",,,TCD,,,,
LAO,171,,Lao PDR,"1,270",,,186,,Zambia,"1,590",,,ZMB,,,,
YEM,171,,"Yemen, Rep.","1,270",,,187,,Afghanistan,"1,560",,,AFG,,,,
PAK,173,,Pakistan,"1,260",,,187,,Tanzania,"1,560",h,,TZA,,,,
CIV,174,,Côte d'Ivoire,"1,220",,,189,,Benin,"1,550",,,BEN,,,,
CMR,175,,Cameroon,"1,170",,,190,,Burkina Faso,"1,490",,,BFA,,,,
SLB,176,,Solomon Islands,"1,130",,,191,,Nepal,"1,470",,,NPL,,,,
MRT,177,,Mauritania,"1,110",,,193,,Sierra Leone,"1,340",,,SLE,,,,
SEN,178,,Senegal,"1,030",,,194,,Rwanda,"1,320",,,RWA,,,,
KGZ,179,,Kyrgyz Republic,990,,,196,,Haiti,"1,220",,,HTI,,,,
KHM,180,,Cambodia,880,,,197,,Comoros,"1,210",,,COM,,,,
KEN,182,,Kenya,860,,,198,,Mali,"1,140",,,MLI,,,,
TJK,182,,Tajikistan,860,,,199,,Uganda,"1,120",,,UGA,,,,
BGD,184,,Bangladesh,840,,,200,,Ethiopia,"1,110",,,ETH,,,,
COM,184,,Comoros,840,,,201,,Guinea-Bissau,"1,100",,,GNB,,,,
SSD,186,,South Sudan,790,,,202,,Central African Republic,"1,080",,,CAF,,,,
TCD,187,,Chad,770,,,204,,Mozambique,"1,000",,,MOZ,,,,
HTI,188,,Haiti,760,,,205,,Guinea,970,,,GIN,,,,
BEN,189,,Benin,750,,,206,,Madagascar,930,,,MDG,,,,
NPL,190,,Nepal,700,,,207,,Togo,900,,,TGO,,,,
AFG,191,,Afghanistan,680,,,208,,Niger,760,,,NER,,,,
BFA,192,,Burkina Faso,670,,,209,,Malawi,730,,,MWI,,,,
MLI,193,,Mali,660,,,210,,Liberia,580,,,LBR,,,,
ZWE,194,,Zimbabwe,650,,,211,,Burundi,550,,,BDI,,,,
RWA,195,,Rwanda,600,,,211,,Eritrea,550,b,,ERI,,,,
SLE,196,,Sierra Leone,580,,,213,,"Congo, Dem. Rep.",390,,,ZAR,,,,
TZA,197,,Tanzania,570,h,,,,,,,,,,,,
CAF,198,,Central African Republic,510,,,,,American Samoa,..,,,ASM,,,,
GMB,198,,"Gambia, The",510,,,,,Andorra,..,,,ADO,,,,
GNB,198,,Guinea-Bissau,510,,,,,Argentina,..,,,ARG,,,,
MOZ,198,,Mozambique,510,,,,,Aruba,..,,,ABW,,,,
TGO,203,,Togo,500,,,,,Bermuda,..,,,BMU,,,,
ERI,204,,Eritrea,450,,,,,Brunei Darussalam,..,,,BRN,,,,
GIN,205,,Guinea,440,,,,,Cayman Islands,..,,,CYM,,,,
UGA,205,,Uganda,440,,,,,Channel Islands,..,,,CHI,,,,
MDG,207,,Madagascar,430,,,,,Cuba,..,,,CUB,,,,
NER,208,,Niger,390,,,,,Curaçao,..,,,CUW,,,,
ETH,209,,Ethiopia,380,,,,,Djibouti,..,,,DJI,,,,
LBR,210,,Liberia,370,,,,,Faeroe Islands,..,,,FRO,,,,
MWI,211,,Malawi,320,,,,,French Polynesia,..,,,PYF,,,,
BDI,212,,Burundi,240,,,,,Greenland,..,,,GRL,,,,
ZAR,213,,"Congo, Dem. Rep.",230,,,,,Guam,..,,,GUM,,,,
,,,,,,,,,"Iran, Islamic Rep.",..,,,IRN,,,,
ASM,,,American Samoa,i,,,,,Isle of Man,..,,,IMY,,,,
ADO,,,Andorra,j,,,,,Jamaica,..,,,JAM,,,,
ARG,,,Argentina,i,,,,,"Korea, Dem. Rep.",..,,,PRK,,,,
ABW,,,Aruba,j,,,,,Kosovo,..,,,KSV,,,,
BRN,,,Brunei Darussalam,j,,,,,Libya,..,,,LBY,,,,
CUW,,,Curaçao,j,,,,,Liechtenstein,..,,,LIE,,,,
DJI,,,Djibouti,l,,,,,Marshall Islands,..,,,MHL,,,,
PYF,,,French Polynesia,j,,,,,Monaco,..,,,MCO,,,,
GRL,,,Greenland,j,,,,,Myanmar,..,,,MMR,,,,
GUM,,,Guam,j,,,,,New Caledonia,..,,,NCL,,,,
IRN,,,"Iran, Islamic Rep.",i,,,,,Northern Mariana Islands,..,,,MNP,,,,
PRK,,,"Korea, Dem. Rep.",k,,,,,Puerto Rico,..,,,PRI,,,,
LBY,,,Libya,i,,,,,San Marino,..,,,SMR,,,,
MMR,,,Myanmar,k,,,,,Sint Maarten (Dutch part),..,,,SXM,,,,
NCL,,,New Caledonia,j,,,,,Somalia,..,,,SOM,,,,
MNP,,,Northern Mariana Islands,j,,,,,South Sudan,..,,,SSD,,,,
SXM,,,Sint Maarten (Dutch part),j,,,,,St. Martin (French part),..,,,MAF,,,,
SOM,,,Somalia,k,,,,,Turks and Caicos Islands,..,,,TCA,,,,
